stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AP,49,122,6,14
AR,56,141,7,15
AS,0,0,0,0
BR,43,118,5,14
CH,52,119,6,14
CT,53,116,7,14
DL,69,115,8,14
DN,43,115,5,14
GJ,74,117,9,14
HP,75,120,9,14
UP,51,116,6,14
HR,52,119,9,14
JH,49,116,6,14
JK,52,120,7,14
KA,59,119,7,14
KL,120,144,8,14
LA,59,114,8,14
LD,0,123,12,15
MH,51,115,6,14
ML,58,124,7,15
MN,0,0,0,0
MP,54,116,7,14
MZ,69,143,0,8
NL,40,122,5,15
OR,55,124,6,15
PB,53,120,6,14
PY,55,122,6,14
RJ,73,119,9,14
SK,55,125,7,15
TN,38,124,6,15
TR,50,124,6,15
UT,53,120,7,14
WB,64,121,8,14
