stateid,vaccineratio
DL,3.2224026619649226
TG,3.9359876713096202
JH,5.095742336948367
AP,5.129828417390091
TN,5.32257467614153
HR,5.953967985179986
PY,6.103255086751645
PB,6.107160512974613
KA,6.477090294079526
MH,6.579185817982559
OR,6.598912642385103
WB,6.742977730830343
AS,7.006831531602256
UP,7.4635881769032775
RJ,7.490142236360858
CT,7.5595658316059975
GJ,7.63769222838199
MP,7.758749864247849
BR,7.842458378613985
KL,9.027857491328223
UT,12.731979218387655
JK,26.200898450631055
TR,48.15777650464359
GA,51.16299081640032
CH,214.97393992932862
HP,1759.6407079646017
NL,1947.1549636803875
SK,2877.165938864629
AR,4466.132183908046
LA,5354.285714285715
ML,6287.994871794872
LD,7728.111111111111
DN,14654.340425531915
MN,15002.458333333334
MZ,53123.25
AN,329996.0
