state-code,male-percentage,female-percentage,p-value
00,71.65011794931502,76.46426421106435,0.8244519157322345
01,45.26420709260613,56.81195599121451,0.7805408911411182
02,80.3563771567774,83.48259644801578,0.850071219601471
03,50.24283332758404,56.11189913089054,0.9174514311841016
04,44.39149730566611,45.86583036182541,0.9899886067332968
05,80.87182909793796,84.33886987197583,0.8238244898183564
06,75.85987986128515,80.01374409533558,0.8626719126833486
07,57.8021538330756,61.22413425095329,0.9627481788959962
08,87.6517668407443,90.65604483256882,0.6363320779721175
09,87.26086903672274,89.96798876127744,0.7946158086387196
10,82.60166608088775,85.31091975830817,0.7644445490318499
11,33.964775435664095,38.90270497761794,0.9721720783947883
12,32.98711886058786,39.15752857132193,0.9479781566252523
13,35.40236705447426,40.470491784373486,0.933054003652918
14,47.15039629191442,55.66402391180405,0.8463497668987394
15,68.6382551918738,74.9866664698164,0.5792675313663769
16,61.93405165238992,69.15313404918254,0.6052627119673875
17,70.4336681342135,74.15421912509144,0.8254699469532045
18,49.93925446453807,57.54532598399346,0.7750544732523275
19,81.23793942565821,85.9592559782642,0.6832640314701695
20,67.66620113092993,71.81120300334685,0.7680689625101742
21,62.919349564796306,71.29658769289131,0.7331157508259016
22,85.81285828334137,87.70008864640813,0.8356867985600158
23,85.44439418311656,87.62232038535575,0.7910930383476524
24,52.178026538156935,62.57966925462491,0.7563196643061167
25,52.58847246525306,51.18778645665225,0.9749171990955767
26,41.57153179190752,42.79921840092298,0.8886579787969882
27,44.997805403617555,53.104926750573426,0.8545514465435571
28,71.26914364792016,77.71797095164293,0.7300105879156669
29,57.9131677016347,62.76065232283966,0.8569088454489366
30,20.531428416808723,25.109222204460632,0.9398294439780133
31,65.7700087552456,76.98564593301435,0.6072975305394737
32,73.21389130072903,77.72975908541568,0.8819201778154253
33,69.55855716874008,73.85282951746443,0.8345908784629898
34,65.13009562277249,71.87626880187334,0.8134674016328827
35,29.818456063212583,35.261380901468684,0.9380501726215309
