state-code,urban-percentage,rural-percentage,p-value
00,13.424759674746731,4.243962545210197,0.5112161557398132
01,24.39373629939282,13.819891392898159,0.8864797197980794
02,9.653446653266565,4.546870572615183,0.9382456156351069
03,34.60902462567599,24.393583742615395,0.8452435801380282
04,30.943856500844163,15.01500465661757,0.5276084899616014
05,3.843817904082788,1.0034313141737177,0.39239180277625074
06,6.871713663593378,3.4099870261468057,0.6413070673290877
07,8.264202742041478,1.3063129710148387,0.2876857483366926
08,2.33013854635286,1.1835006486945954,0.7562658975142664
09,2.9617128534012864,0.8162955315248314,0.47995884363802355
10,3.571146696857701,1.3673991381290627,0.9328862096005173
11,41.168656969097135,25.85913754734693,0.9527089620875531
12,39.71307846702104,27.43112538190739,0.9760703339454937
13,40.50941737336374,21.753333484898434,0.8905971001263313
14,28.859778889749375,18.602866979284144,0.934029165374795
15,6.09492261762139,3.4480002283821976,0.5595544394539314
16,9.059621219133957,4.109658229565443,0.8181556335179963
17,25.464438659837096,5.199501231109044,0.518962854381549
18,31.44505611177522,11.076842742095227,0.8839830922600778
19,7.620148652930351,1.067934633635984,0.28815788989401314
20,8.330164106893921,3.720611789875847,0.8246071966869026
21,30.901189321691415,9.611126638456653,0.7997951873417108
22,3.791763744650921,1.006953247204031,0.5737225394277277
23,3.464053867067808,1.0707111789615789,0.5423675630044729
24,21.515887130758134,8.737057679479829,0.5187692334631882
25,14.652914121333763,12.929664216173256,0.8458094012685953
26,19.8374793735795,21.65754666491912,0.9761894932249238
27,26.863875836439025,9.865760769603337,0.5072456931026135
28,14.114084178875459,4.189923150298052,0.46587392908136493
29,24.481297311830097,5.466301977336935,0.39098278595521974
30,52.87390798995163,47.44721612524944,0.9015377009638221
31,15.842803782881665,14.192772788345945,0.47387444459207817
32,11.474606157568601,7.786231403970034,0.7955676204575213
33,5.379815931523044,1.5274651157855887,0.31873157115648887
34,7.814220530446683,1.2725202429149798,0.2835588413896013
35,24.09400089206066,16.084827472763852,0.8985729575875108
